                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00012832,             0.00012832,             0.00012832
                      4,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00015466,             0.00015466,             0.00015466
                      5,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00016912,             0.00016912,             0.00016912
                      6,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001717,              0.0001717,              0.0001717
                      7,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001624,              0.0001624,              0.0001624
                      8,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00014122,             0.00014122,             0.00014122
                      9,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00010816,             0.00010816,             0.00010816
                     10,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              6.322e-05,              6.322e-05,              6.322e-05
